Model,Inference Step,Scale,Results
Flux,2,1,"Recall@5: 44.75
Recall@10: 55.25
Recall@25: 71.62
Recall@50: 80.12

mAP@5: 29.7
mAP@10: 31.13
mAP@25: 33.92
mAP@50: 35.08

mAP@10 results for each semantic aspect:
Cardinality: 34.12
Addition: 32.05
Negation: 23.88
Direct Addressing: 31.52
Compare & Change: 28.13
Comparative Statement: 30.04
Statement with Conjunction: 29.72
Spatial Relations & Background: 32.95
Viewpoint: 24.28"
Flux,2,0.9,"Recall@5: 45.62
Recall@10: 57.5
Recall@25: 73.38
Recall@50: 81.25

mAP@5: 31.23
mAP@10: 32.54
mAP@25: 35.32
mAP@50: 36.46

mAP@10 results for each semantic aspect:
Cardinality: 35.7
Addition: 33.33
Negation: 25.51
Direct Addressing: 33.34
Compare & Change: 29.38
Comparative Statement: 31.44
Statement with Conjunction: 31.18
Spatial Relations & Background: 34.52
Viewpoint: 25.86"
Flux,2,0.8,"Recall@5: 46.62
Recall@10: 58.5
Recall@25: 74.38
Recall@50: 82.0

mAP@5: 31.79
mAP@10: 33.18
mAP@25: 35.96
mAP@50: 37.1

mAP@10 results for each semantic aspect:
Cardinality: 37.0
Addition: 33.92
Negation: 26.12
Direct Addressing: 33.9
Compare & Change: 30.48
Comparative Statement: 31.81
Statement with Conjunction: 31.92
Spatial Relations & Background: 35.05
Viewpoint: 26.67"
Flux,2,0.7,"Recall@5: 47.88
Recall@10: 58.88
Recall@25: 74.12
Recall@50: 82.62

mAP@5: 32.53
mAP@10: 33.76
mAP@25: 36.52
mAP@50: 37.66

mAP@10 results for each semantic aspect:
Cardinality: 37.5
Addition: 34.47
Negation: 26.94
Direct Addressing: 34.48
Compare & Change: 30.95
Comparative Statement: 32.31
Statement with Conjunction: 32.42
Spatial Relations & Background: 35.49
Viewpoint: 27.5"
Flux,2,0.6,"Recall@5: 48.5
Recall@10: 60.38
Recall@25: 74.38
Recall@50: 83.25

mAP@5: 32.63
mAP@10: 33.99
mAP@25: 36.67
mAP@50: 37.82

mAP@10 results for each semantic aspect:
Cardinality: 37.55
Addition: 34.7
Negation: 27.29
Direct Addressing: 34.73
Compare & Change: 31.31
Comparative Statement: 32.83
Statement with Conjunction: 32.66
Spatial Relations & Background: 35.62
Viewpoint: 27.69"
Flux,2,0.5,"Recall@5: 48.38
Recall@10: 61.25
Recall@25: 74.38
Recall@50: 83.12

mAP@5: 32.5
mAP@10: 33.83
mAP@25: 36.53
mAP@50: 37.67

mAP@10 results for each semantic aspect:
Cardinality: 37.38
Addition: 34.45
Negation: 27.45
Direct Addressing: 34.61
Compare & Change: 31.06
Comparative Statement: 33.01
Statement with Conjunction: 32.5
Spatial Relations & Background: 35.27
Viewpoint: 27.56"
Flux,2,0.4,"Recall@5: 49.0
Recall@10: 61.38
Recall@25: 74.88
Recall@50: 83.38

mAP@5: 32.62
mAP@10: 33.88
mAP@25: 36.59
mAP@50: 37.71

mAP@10 results for each semantic aspect:
Cardinality: 37.66
Addition: 34.56
Negation: 27.34
Direct Addressing: 34.64
Compare & Change: 31.14
Comparative Statement: 33.1
Statement with Conjunction: 32.58
Spatial Relations & Background: 35.23
Viewpoint: 27.73"
Flux,2,0.3,"Recall@5: 48.62
Recall@10: 61.5
Recall@25: 75.0
Recall@50: 83.38

mAP@5: 32.71
mAP@10: 33.92
mAP@25: 36.61
mAP@50: 37.71

mAP@10 results for each semantic aspect:
Cardinality: 37.61
Addition: 34.75
Negation: 27.5
Direct Addressing: 34.76
Compare & Change: 31.18
Comparative Statement: 33.25
Statement with Conjunction: 32.62
Spatial Relations & Background: 35.31
Viewpoint: 27.84"
Flux,2,0.2,"Recall@5: 48.5
Recall@10: 61.38
Recall@25: 74.75
Recall@50: 83.38

mAP@5: 32.68
mAP@10: 33.86
mAP@25: 36.61
mAP@50: 37.69

mAP@10 results for each semantic aspect:
Cardinality: 37.48
Addition: 34.63
Negation: 27.51
Direct Addressing: 34.69
Compare & Change: 31.17
Comparative Statement: 33.19
Statement with Conjunction: 32.53
Spatial Relations & Background: 35.11
Viewpoint: 27.78"
Flux,2,0.1,"Recall@5: 48.25
Recall@10: 61.38
Recall@25: 74.5
Recall@50: 83.38

mAP@5: 32.71
mAP@10: 33.83
mAP@25: 36.56
mAP@50: 37.66

mAP@10 results for each semantic aspect:
Cardinality: 37.1
Addition: 34.62
Negation: 27.34
Direct Addressing: 34.68
Compare & Change: 31.18
Comparative Statement: 33.09
Statement with Conjunction: 32.41
Spatial Relations & Background: 34.85
Viewpoint: 27.95"
